W1	C1	P1	W2	C2	P2	R	POS
incubar	A fêmea põe em média dois ovos de cor lilás, que incuba sozinha.	11	incubar	La hembra incuba durante doce a catorce días antes de la eclosión.	2	1	V
inquestionável	Nada nos permite saber da sua inquestionável antiguidade.	6	incuestionable	Ella se convertiría en el amor incuestionable de su vida.	6	1	A
inculcar	Estas ideais se inculcam aos membros de cada grupo desde a infância.	3	inculcar	Aboga por inculcar valores y códigos de comportamiento sionistas en la educación infantil.	2	1	V
incurável	A causa oficial de sua morte foi registrada como uma doença incurável dos vasos sanguíneos.	11	incurable	Fue hija de padres que no estaban casados, hecho que le provocó una amargura incurable.	14	1	A
incursão	Estas incursões eram quase sempre formadas por aventureiros à procura de ouro.	1	incursión	Sin embargo, actuaron en conjunto para defenderse de las incursiones mexicas.	9	1	N
indevido	Aproveitamento indevido na celebração do negócio jurídico.	1	indebido	Además de la colocación indebida de los pies.	4	1	A
indefinido	Estes cartões só permitem fazer uma ligação de duração indefinida.	9	indefinido	El punto de ebullición no puede elevarse en forma indefinida.	9	1	A
indenização	Os dois beneficiários da indenização também foram condenados.	4	indemnización	Este a su vez servirá como legitimación para exigir la indemnización del daño.	10	1	N
independência	Até hoje, sua independência não foi reconhecida por nenhum país.	3	independencia	Su objetivo fundamental es la lucha por la independencia y el socialismo.	8	1	N
independente	Não sou eu quem categorizo a literatura galega como independente e autónoma de outras literaturas próximas.	9	independiente	Ahora ya se piensa en un origen independiente.	7	1	A
indignação	Esse ato causou surpresa e indignação em muitos ativistas locais.	5	indignación	El ataque provocó la indignación nacional y reforzó el movimiento de los derechos civiles.	4	1	N
indigno	Tertuliano também duvidava de elas como sendo indignas.	7	indigno	Permitió sacerdotes que en muchos casos eran indignos.	7	1	A
indireto	A fecundação normalmente é externa com desenvolvimento indireto, ou seja, como formação de larvas.	7	indirecto	Es un método indirecto que sirve para determinar la distribución de la grasa abdominal.	3	1	A
indisciplina	A indisciplina pesaria para que chegasse a ficar um ano sem defender o país.	1	indisciplina	Atribuyó su derrota a la indisciplina del ejército y a la escasez de material bélico.	5	1	A
indistinguível	São virtualmente indistinguíveis sob o microscópio electrónico.	2	indistinguible	En una misma célula, varios potenciales de acción consecutivos son prácticamente indistinguibles.	11	1	A
individual	Espaço para estudo individual e em grupo.	3	individual	El rito funerario era inicialmente de inhumación individual bajo túmulo.	7	1	A
individualidade	"Possível perda da individualidade; sensação de consolidação com o divino."	3	individualidad	Se privilegia la individualidad como materia de crítica.	3	1	N
individualismo	Ele dizia que o individualismo é útil para a sociedade.	4	individualismo	Estas fueron la base para el concepto más elaborado de individualismo que conocemos hoy.	10	1	N
individualista	Esse instinto é individualista, ele não induz a qualquer vida social.	3	individualista	La economía por supuesto es liberal y la sociedad fuertemente individualista.	10	1	A
individualizar	A introdução dos computadores no ensino tinha como propósito individualizar a instrução.	9	individualizar	Dentro de Villa Adelina se pueden individualizar distintos barrios.	6	1	V
indivíduo	Um determinado indivíduo, por exemplo, apresenta concretamente a propriedade de falar inglês.	2	individuo	En cada generación, se evalúa la aptitud de cada individuo en la población.	9	1	N
induzir	Esta música permite induzir a presença de uma temática existencial.	3	inducir	Este campo inducía a su vez una corriente eléctrica alterna en las bobinas de alambre adyacentes.	2	1	V
indutivo	Um bom argumento indutivo terá uma conclusão altamente provável.	3	inductivo	El razonamiento inductivo es aquel que va de lo particular a lo general.	2	1	A
indústria	A indústria é a principal base de sua economia, seguida pelo comércio e turismo.	1	industria	Ésta es el centro de la industria de alta tecnología de la región.	6	1	N
industrial	Durante a era comunista, o desenvolvimento industrial acelerou significativamente.	6	industrial	Un pequeño sector industrial abastece al mercado local.	3	1	A
industrialização	A guerra acelerou o processo de industrialização do estado.	6	industrialización	El crecimiento económico y la industrialización han dañado el medio ambiente.	5	1	A
ineficaz	Os militares cubanos foram notavelmente ineficazes.	5	ineficaz	Los antibióticos son ineficaces contra el resfriado común y también contra cualquier otra infección viral.	3	1	A
inércia	Muitos criticaram esta inércia por parte do governo.	3	inercia	La inercia avasalladora de la irrupción se había generado.	1	1	N
inerte	Em ambas concepções, a matéria é passiva ou inerte.	8	inerte	En muchas aplicaciones, los gases nobles se utilizan para formar una atmósfera inerte.	12	1	A
intermitente	Os rios são intermitentes, ou seja, fluem somente em a estação de as chuvas.	3	intermitente	Especialmente cuando el conductor no usa los intermitentes.	7	0	N/A
Chefes	Tradicionalmente ao recepcionar Chefes de Estado, o papa e o convidado trocam presentes mútuos.	3	Jefes	Sesenta Jefes de Estado y de Gobierno asistieron a la cumbre.	1	1	N
jornal	Ler um jornal impresso ainda é uma atividade muito apreciada nesta cidade.	2	jornal	El esclavo a jornal poseía derechos diferenciados respecto a otros tipos de esclavos.	3	0	N
jovem	Durante esta época o jovem já frequentava teatros e outros meios artísticos.	4	joven	La joven aumentaba su hermosura colocando se en sus espesos y negros cabellos lazos de colores.	1	1	N
judia	Ela não se considerava judia.	4	judía	Otros productos importantes son el camote, calabazas, zanahorias, judías, pimientos y ajo.	8	0	N/A
juro	Ele quer seu dinheiro de volta, e com juros.	8	juro	Un diluvio, lo juro por Dios '.	3	0	N
ladrilho	Revestimentos como azulejos, ladrilhos e cerâmicas são aplicados sobre o emboço.	4	ladrillo	Existen muchas fábricas de ladrillos, materiales de construcción y una de producción de cemento.	4	0	N
lavagem	É recomendada a lavagem frequente das mãos.	3	lavado	En las rinitis atróficas se aconseja lavados nasales y aplicación tópica de lubricantes.	6	1	N
lençol	De seguida, colocou um lenço sobre a sua face para evitar alarmar a tripulação.	4	lienzo	Deprimido, destruyó toda una serie de lienzos.	6	0	N
manteiga	A criação de gado bovino traz consigo a produção de manteiga.	10	manteca	Otro guiso es el cocido de garbanzos bien provisto de manteca y morcilla.	10	0	N
maçã	Também há lugar à produção de fruta, principalmente maçãs, dióspiros e kiwis.	8	manzana	Cada manzana de la red urbana tenía, por lo menos, dos casas.	1	0	N
mais	De entre os vírus isométricos, o formato mais comum é o de simetria icosaédrica.	7	más	El mes de más lluvias suele ser abril.	3	1	R
mas	Não é problema para mim, que falo inglês, mas pode ser para outros.	8	más	Más tarde, los futuros profesores serían precisamente alemanes.	0	0	C
massa	Mais comumente, as folhas aromáticas são adicionadas inteiras aos molhos de massas italianas.	11	masa	Elaborado a base de una masa de coco y leche que posteriormente es horneada.	5	0	N
maior	A maior parte dos acidentes geográficos venusianos recebe o nome de mulheres históricas e mitológicas.	1	mayor	Actualmente se buscan estrategias como la anterior para conseguir una mayor seguridad en el proceso.	10	1	A
melhorar	Apesar do crescimento económico de o país, muitos vivem ainda numa pobreza abjeta, e a situação não parece melhorar.	18	mejorar	A medida que avanza el juego, los jugadores van acumulando puntos de experiencia para mejorar habilidades del personaje de cada jugador.	14	1	V
menino	Eles tiveram cinco filhos, uma menina e quatro meninos.	8	menino	Los personajes son tratados de forma naturalista, ya sea la menina Agustina Sarmiento ofreciendo la cerámica con agua o la propia infanta Margarita.	10	0	N
menos	Exige irrigação intensa na primavera e verão, menos durante o inverno.	7	menos	El pelaje de invierno es más gris y tiene menos franjas que el de verano.	9	1	C
marmelada	Quanto mais tempo ferver, mais escura fica a marmelada.	8	mermelada	Así, una mermelada de fresa elaborada según métodos tradicionales es de color amarronado.	2	0	N
morro	O município apresenta um relevo de morros, contendo serras situadas mais a noroeste.	6	morro	El morro sobresale marcadamente de la cabeza y es obtuso.	1	0	N
neto	Antes de entrar no convento, distribuiu os seus bens pelos netos.	10	neto	Ello se puede complementar con el balance neto	7	0	N
ninho	Os filhotes já saem do ninho com a plumagem do sexo correspondente.	5	niño	Desde niño tuvo una salud muy frágil.	1	0	N/A
nota	As notas de cinco, dez, cinquenta e cem pesos foram substituídas por moedas.	1	nota	Por definición, los acordes se producen cuando diversas notas suenan al mismo tiempo.	8	0	N
novo	Para eleger a nova bandeira, se apresentaram diversos grupos de propostas.	3	nuevo	El primer acto de el nuevo emperador fue verdaderamente simbólico.	5	1	A
novos	Presentemente a serie já está em seu sexto episódio, contando sempre com novos personagens.	12	nuevos	Los nuevos automóviles se han vuelto más ampliamente disponibles después de la reconstrucción de caminos y carreteras.	1	1	A
oficina	Promove eventos culturais e oficinas de pintura.	4	oficina	Muchas oficinas de correo ofrecen también servicios bancarios.	1	0	N
oposição	Sob a ditadura militar, editou numerosas publicações de oposição ao regime.	8	oposición	Esta fuerte oposición abocó al proyecto a su fracaso.	2	1	N
osso	O esqueleto é composto por ossos, ligamentos e tendões.	5	oso	Hacia el centro y en toda la parte norte y este del estado en donde típicamente venados cola blanca, onza, jaguar y oso negro.	22	0	N
padre	Os padres jesuítas foram os fundadores de aldeias que chamavam se missões ou reduções.	1	padre	Su padre, debido a la vida que llevaba, dejó de enviarle ayuda.	1	0	N
parelha	Antes do surto emigratório de os anos 60 e 70, havia muitas famílias que possuíam vacas, geralmente uma parelha.	18	pareja	Se fueron de viaje con otras dos parejas.	5	0	N
passeio	A estrada era apertada e tinha passeios para os peões de ambos os lados.	6	paseo	Destacan el paseo en tranvía eléctrico y su centro de documentación.	2	0	N
pasta	Quando regressou novamente a Portugal, voltou a assumir as duas pastas anteriores.	10	pasta	Si la pasta contiene huevo, esta posee más proteína.	2	0	N
paço	Mas este duque não se limitou a levantar o Paço de Vila Viçosa.	9	pazo	El pazo barroco inclúye salas de arqueología y colección de pintura gallega.	1	0	N
pegada	Conhecida principalmente pela presença de centenas de pegadas fossilizadas de dinossauros.	7	pegada	Va pegada justo encima de la tabla.	1	0	N
pelo	O relacionamento, pelo menos de parte de Adriano, sem dúvida era apaixonado, mas foi efêmero.	2	pelo	El pelo se vuelve frágil, seco, deslucido y tiende a caerse.	1	0	N
pequeno	Uma pequena muralha protetora foi adicionada depois.	1	pequeño	Es una región llana, con apenas algunas colinas pequeñas.	8	1	A
perdão	Apesar de isso, alguns anos depois a mãe lhe pediu o perdão.	11	perdón	Pido perdón por la confusión.	0	1	N
peru	Enquanto ele escreve, ela se aproxima de a mesa, prova um gole de vinho, umas uvas, e vislumbra uma faca afiada e pontiaguda, usada para cortar um peru.	27	Perú	También quería postular a la presidencia del Perú.	7	0	N
pinha	Os esquilos recolhem as pinhas de essas árvores, enquanto os pássaros conseguem as sementes extraindo-os com seus bicos.	4	piña	La producción de piña y uvas van creciendo en importancia.	3	0	N
pouco	Há poucas indústrias de transformação no país.	1	poco	Con este nuevo disco la banda cambió un poco su estilo.	8	1	A
político	O subterfúgio político também pode negar o devido reconhecimento.	2	político	El álbum llevaba un mensaje político.	5	1	N/A
polvo	Os polvos atacam quando se sentem ameaçados.	1	polvo	Es un cristal incoloro o un polvo blanco, y un oxidante muy estable y fuerte.	6	0	N
posse	Em seu discurso de posse, prometeu erradicar a pobreza e mudar o sistema tributário.	4	pose	Moviendo y reemplazando las partes se obtienen diversas poses, y así se da vida al personaje.	8	0	N
prejuízo	O prejuízo financeiro e político fora grave.	1	prejuicio	A esto se sumó los prejuicios que existían contra las mujeres instrumentistas.	5	0	N
prenda	É costume as pessoas visitarem e trazerem uma prenda para a criança.	8	prenda	En estos días se pueden adquirir prendas de vestir y artesanías de estas etnias.	6	0	N
apresentam	Um estudo de revisão concluiu que os tratamentos homeopáticos não são eficazes nem apresentam qualquer diferença em relação a placebos.	13	presentan	Existen numerosas agrupaciones en la ciudad que se presentan en numerosos eventos.	8	1	V
presunto	Não podemos esquecer os enchidos, como as alheiras, o salpicão e presunto.	11	presunto	Los presuntos implicados procedían de la zona norte del país.	1	0	N/A
pressuposto	Mas este é apenas um pressuposto de uma doutrina que vai mais além.	5	presupuesto	Entre sus labores, define los objetivos y aprueba los presupuestos.	9	0	N/A
primeiro	Os primeiros objetos em cobre são pequenos punhais quase triangulares.	1	primero	Nativos americanos algonquinos vivían en la región desde unos años antes de la llegada de los primeros europeos.	16	1	A
progresso	O comércio e a indústria estavam em franco progresso.	8	progreso	A día de hoy, no se ha conseguido progreso en esta dirección.	8	1	N
pronto	Estava pronto o cenário para a revolução.	1	pronto	Los hombres que lo exiliaron pronto lo convirtieron en un modelo para la república brasileña	5	0	A
poente	As saídas naturais são para norte, sul e poente.	8	puente	Las viviendas las unen mediante puentes de madera y plataformas en suspensión.	5	0	N
queixo	O queixo não toca o tórax.	1	queso	En algunos estados se hacen con queso de cabra, carne de chivo y cordero.	6	0	N
quintal	A escola foi aberta dentro do quintal de sua casa.	6	quintal	Decidió ratificar el contrato si se pagaba un impuesto de 10 centavos sobre quintal exportado de territorio boliviano.	13	0	N
rapaz	Alguns anos se passaram e a criança transformou se em um rapaz.	11	rapaz	A finales de invierno llegan de África las cigüeñas y aves rapaces migratorias.	11	0	N
rato	Inventa também uma ratoeira elétrica para caçar os ratos no quarto da pensão.	8	rato	Al cabo de un rato, una sección entera del edificio se derrumbó.	4	0	N
receita	Mas a receita original comporta muitas variações.	2	receta	Sin embargo, la receta original ya usaba la vainilla natural.	3	1	N
reformado	Também eram militares reformados: Jarbas Passarinho e Ney Braga.	3	reformado	La mayor parte de el hidrógeno comercial se produce mediante el reformado catalítico de gas natural o de hidrocarburos líquidos.	11	0	N/A
reparar	Quando acordou, o menino reparou que estava sozinho na praia.	4	reparar	El alimento se emplea para generar y reparar tejidos y obtención de energía.	7	0	V
requer	Assim, uma consideração em termos de processos cíclicos requer pelo menos quatro sistemas de componentes contributivos	8	requiere	Otra demostración de este experimento requiere del uso de cálculo integral.	5	1	V
respeito	Os dois homens tinham uma boa relação de trabalho e respeito mútuo.	10	respeto	Alejandro sentía simpatía y respeto por este pintor e incluso se sometía a sus exigencias.	4	1	N
roxo	Suas terras são brancas, arenosas, mestiças e roxas.	7	rojo	El tablero estaba hecho de mármol y tenía cuadrados de color rojo y blanco.	11	0	A
romance	Especializou-se em romances envolvendo espionagem e política internacional.	2	romance	Rivera tuvo un romance con Cristina, la hermana pequeña de Frida.	3	0	N
ruivo	Ela tinha uma baixa estatura, cabelos ruivos, grandes olhos azuis e rosto arredondado.	6	rubio	Annie en el manga es rubia y en el anime es de cabello oscuro.	5	0	A
salada	O feta é um ingrediente importante na salada grega.	7	salada	La ración de alimentos diaria fue creciendo y se le proporcionaba trigo, sal, vino, vinagre, carne fresca y carne salada.	19	0	N/A
salsa	A salsa fresca é rica em vitaminas e a sua celulose ajuda o movimento intestinal.	1	salsa	El kétchup tiene más sal que la salsa de tomate.	7	0	N
segurança	Nada pode garantir a segurança total dum computador.	4	seguridad	Las medidas de seguridad en todos los accesos a la cámara son extremas.	3	1	N
seta	Seu símbolo, um círculo com uma seta apontando para o lado superior direito, também é usado como símbolo do sexo masculino.	6	seta	Los productos típicos de la zona son las setas de cardo y el queso de cabra.	8	0	N
seguinte	Os que conseguissem superar, seriam automaticamente promovidos para o ano seguinte.	10	siguiente	Para ilustrar este punto, veamos lo siguiente.	6	1	A
sobre	Este valor está sendo revisado, havendo novos estudos sobre os seus efeitos a saúde.	8	sobre	Una analogía para firmas digitales es el sellado de un sobre con un sello personal.	10	0	N/P
sobremesa	As sobremesas, doces e pastelaria navarras são muito variadas.	1	sobremesa	Y así, durante la sobremesa, Francisco Castro se convirtió en el plan.	4	0	N
sótão	O edifício possui planta regular, telhado de duas águas, sótão iluminado e porão alto.	9	sótano	Fue descubierto y arrestado mientras salía del sótano, poco después de la medianoche.	7	0	N
sucesso	A ingestão de multivitamínicos é essencial para o sucesso da dieta.	8	suceso	Fueron ellos quienes informaron a la familia del trágico suceso.	9	0	N/A
sonho	O Majestoso não existia nem em sonho.	6	sueño	El bostezo puede desencadenar se por múltiples estímulos, como ver a alguien que bosteza, participar en una labor aburrida, o tener sueño.	21	0	N
sono	Em o segundo momento, ocorre descontrole, falta de coordenação motora e sono.	11	sueño	Sus aventuras como caballero andante son solo un sueño difuso.	8	0	N
sorte	Sua sorte começou a mudar porém, com a própria sorte da guerra.	1	suerte	Sin embargo, la suerte de ambos cambió radicalmente.	3	1	N
sofrer	A cidade sofre atualmente com o excesso de veículos.	2	sufrir	El cine sufrió no solo la censura, sino además la manipulación.	2	1	V
suspender	Mas este se recusou a suspender o ataque.	5	suspender	Al suspender el examen de geología en 1887, perdió la beca.	1	0	V
talher	Deve ser comido apenas com as mãos, jamais com talheres.	9	taller	También tiene un moderno taller de restauración.	4	0	N
talho	A nível de estabelecimentos, o povo tinha o seu dispor padarias, mercearias, talhos, cervejarias e uma fábrica de manteiga.	13	tallo	Los tallos son huecos y tabicados en los nudos y de ellos se desprenden raíces zancudas.	1	0	N
também	Também se destacam suas indústrias de equipamentos e mecânicas.	0	también	También distingue entre un lenguaje común y un lenguaje estético y metafórico.	0	1	A
tapete	O público que assiste ao espetáculo se senta em almofadas e tapetes no chão.	11	tapete	Dicho tapete tiene una serie de recuadros para efectuar las apuestas.	1	0	N
taça	Levantou a taça do Pernambucano.	2	taza	Hervir 5 minutos, dos o tres tazas al día.	6	0	N
telefone	O serviço telefônico móvel, por telefone celular, é oferecido por diversas operadoras.	5	teléfono	O también pueden solicitarse por teléfono.	5	1	N
termo	O termo se refere tanto às algas como algumas espécies de plantas vasculares.	1	termo	"Dado que sus mapas eran muy antiguos, decidieron aventurar se entre las dunas de arena con algunas uvas, un termo de café, una naranja y un poco de vino; solo tenían líquido para un día."	19	0	N
tempo	Contudo, com o tempo, seu verdadeiro nome apareceu.	3	tiempo	Saca cada cierto tiempo nuevos sistemas operativos.	3	1	N
tudo	Tentou de tudo depois de aquele trágico acidente.	2	todo	Y aquí todo se refiere a la totalidad del ente.	2	1	C
torto	Suas pernas tortas já não corriam como antes.	2	tuerto	Según otros historiadores, Aníbal sufrió una oftalmía que le dejó tuerto.	10	0	A
último	A entrada na água é o último item que o juiz avalia.	6	último	Sus últimos trabajos se desarrollaron en el mundo del doblaje.	1	1	A
vasilha	Costumavam enterrar seus mortos, direta ou indiretamente, em vasilhas de cerâmica.	8	vajilla	El lavavajillas cuenta con una o más bandejas deslizantes en las que se coloca la vajilla.	15	0	N
valha	Para uma vida que valha a pena ser vivida é preciso ter coragem e energia para decidir.	4	valla	Mientras se repartió la tierra, no se asignó fondos para la construcción de la valla.	14	0	N
venda	É também famosa pela venda de tapetes orientais, móveis e outros artesanatos.	4	venda	Sus damas le quitaron el tocado y ataron una venda sobre sus ojos.	9	0	N
vingança	O rei então, por vingança, cegou o caçador.	4	venganza	El perro como venganza le provoca la muerte.	3	1	N
surdo	Durante as férias na Grécia, seu pai ficou surdo dum ouvido.	8	zurdo	Una persona zurda debe hacer la conversión correspondiente.	2	0	A
